ACTIVITY ID, Activity Name,DAY,NIGHT,FREE,$,$$,$$$,INDOOR,OUTDOOR,HIGH PREP,MED PREP,LOW PREP,1 person,2 people,3 people,4 people ,5 people,6 or more,LOW ENERGY,MED ENERGY,HIGH ENERGY,WINTER,SUMMER,AT HOME,GOING OUT,NEEDS OWN EQUPMENT
60,do a puzzle,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0
61,tick tock/YouTube trends,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0
62,vent,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0
63,baking,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0
64,garage sale hunting,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0
65,clothes shopping/ op Shoping,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0
66,geo cashing,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0
67,museum/art gallery,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0
68,studying,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0
69,Lego (set or freehand to,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1
70,"$100+ adrenaline activity (bungee jumping, sky diving, jet boat,V8 car hi",1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0
71,casino,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0
